referencia,ano,mes,regiao,estado,gasolina_comum_preco_revenda_avg,gasolina_comum_preco_revenda_min,gasolina_comum_preco_revenda_max,gasolina_aditivada_preco_revenda_avg,gasolina_aditivada_preco_revenda_min,gasolina_aditivada_preco_revenda_max,etanol_hidratado_preco_revenda_avg,etanol_hidratado_preco_revenda_min,etanol_hidratado_preco_revenda_max,oleo_diesel_preco_revenda_avg,oleo_diesel_preco_revenda_min,oleo_diesel_preco_revenda_max,oleo_diesel_s10_preco_revenda_avg,oleo_diesel_s10_preco_revenda_min,oleo_diesel_s10_preco_revenda_max,gas_cozinha_glp_preco_revenda_avg,gas_cozinha_glp_preco_revenda_min,gas_cozinha_glp_preco_revenda_max,gas_natural_veicular_gnv_preco_revenda_avg,gas_natural_veicular_gnv_preco_revenda_min,gas_natural_veicular_gnv_preco_revenda_max
2001-07,2001,07,NORTE,RONDONIA,1.8324,1.65,1.97,,,,1.2225,1.13,1.35,0.8641,0.8,0.9,,,,15.4883,13.33,17.7,,,
2001-07,2001,07,NORTE,RORAIMA,1.7781,1.59,1.85,,,,1.2921,1.22,1.33,0.8952,0.826,0.926,,,,16.9081,16.0,17.8,,,
2001-07,2001,07,SUL,SANTA CATARINA,1.7025,1.55,1.799,,,,1.0944,0.96,1.29,0.788,0.74,0.873,,,,19.8739,17.0,22.5,,,
2001-07,2001,07,SUDESTE,SAO PAULO,1.6409,1.379,1.92,,,,0.8757,0.639,1.299,0.8087,0.659,0.939,,,,18.4642,13.5,23.0,0.7681,0.679,0.799
2001-07,2001,07,NORDESTE,SERGIPE,1.6309,1.469,1.788,,,,1.1178,1.05,1.3,0.8384,0.77,0.86,,,,16.8222,16.0,18.0,0.7204,0.699,0.729
2001-07,2001,07,NORTE,TOCANTINS,1.852,1.5,1.92,,,,1.1779,0.95,1.253,0.9298,0.835,0.971,,,,18.8123,14.03,20.6,,,
2001-08,2001,08,NORTE,ACRE,1.9187,1.689,2.38,,,,1.3448,1.25,1.47,0.9191,0.807,1.28,,,,18.2677,17.8,27.0,,,
2001-08,2001,08,NORDESTE,ALAGOAS,1.6946,1.52,1.858,,,,1.0528,0.88,1.26,0.8663,0.814,0.985,,,,17.1818,16.5,18.0,0.7489,0.748,0.749
2001-08,2001,08,NORTE,AMAPA,1.8669,1.81,2.02,,,,1.3596,1.3,1.65,0.9351,0.881,0.96,,,,17.6735,13.39,18.0,0.759,0.759,0.759
2001-08,2001,08,NORTE,AMAZONAS,1.871,1.61,2.0,,,,1.2033,1.11,1.39,0.8543,0.81,1.0,,,,14.9204,14.0,17.5,,,
2001-08,2001,08,NORDESTE,BAHIA,1.7542,1.5,1.95,,,,1.1933,0.98,1.58,0.8787,0.789,0.98,,,,15.6185,13.9,17.07,0.73,0.73,0.73
2001-08,2001,08,NORDESTE,CEARA,1.7447,1.5,1.96,,,,1.1843,0.961,1.39,0.956,0.853,1.0,,,,15.2084,12.5,21.9,0.7481,0.748,0.749
2001-08,2001,08,CENTRO OESTE,DISTRITO FEDERAL,1.6733,1.64,1.739,,,,1.1728,1.1,1.23,0.8418,0.8,0.89,,,,18.5692,16.5,20.0,,,
2001-08,2001,08,SUDESTE,ESPIRITO SANTO,1.6913,1.54,1.9,,,,1.152,1.08,1.3,0.8936,0.802,0.999,,,,19.4581,15.49,23.0,0.729,0.729,0.729
2001-08,2001,08,CENTRO OESTE,GOIAS,1.6814,1.5,1.95,,,,1.0174,0.85,1.2,0.901,0.77,0.992,,,,18.2351,14.5,20.9,,,
2001-08,2001,08,NORDESTE,MARANHAO,1.7556,1.61,1.96,,,,1.213,0.838,1.5,0.8531,0.81,0.98,,,,16.1621,13.93,18.0,,,
2001-08,2001,08,CENTRO OESTE,MATO GROSSO,1.794,1.65,2.05,,,,1.045,0.74,1.29,0.9334,0.89,0.99,,,,22.7599,19.5,25.0,,,
2001-08,2001,08,CENTRO OESTE,MATO GROSSO DO SUL,1.7836,1.69,1.93,,,,1.1485,0.89,1.406,0.8891,0.781,0.991,,,,19.8773,18.0,22.0,,,
2001-08,2001,08,SUDESTE,MINAS GERAIS,1.697,1.47,1.94,,,,1.0487,0.749,1.499,0.8621,0.762,0.989,,,,17.9457,13.5,22.0,0.7163,0.699,0.719
2001-08,2001,08,NORTE,PARA,1.8933,1.69,2.05,,,,1.3267,1.08,1.59,0.8619,0.799,0.95,,,,15.3526,14.0,19.0,,,
2001-08,2001,08,NORDESTE,PARAIBA,1.7379,1.65,1.79,,,,1.1229,0.949,1.29,0.8698,0.803,0.901,,,,17.7434,15.0,19.5,0.725,0.725,0.725
2001-08,2001,08,SUL,PARANA,1.6746,1.459,1.93,,,,0.8827,0.649,1.12,0.8258,0.747,0.989,,,,19.7884,16.0,25.0,,,
2001-08,2001,08,NORDESTE,PERNAMBUCO,1.7393,1.44,1.96,,,,1.0652,0.7,1.49,0.8818,0.81,0.996,,,,16.813,14.9,17.5,0.7572,0.721,0.781
2001-08,2001,08,NORDESTE,PIAUI,1.8231,1.8,1.86,,,,1.2682,1.2,1.299,0.8803,0.85,0.94,,,,16.8364,14.46,18.5,,,
2001-08,2001,08,SUDESTE,RIO DE JANEIRO,1.7176,1.51,1.99,,,,1.0325,0.69,1.399,0.8191,0.757,0.999,,,,18.4715,14.99,22.0,0.732,0.715,0.759
2001-08,2001,08,NORDESTE,RIO GRANDE DO NORTE,1.7324,1.67,1.85,,,,1.148,1.05,1.3,0.8693,0.8,0.988,,,,17.0832,14.9,19.0,0.718,0.718,0.718
2001-08,2001,08,SUL,RIO GRANDE DO SUL,1.7521,1.45,2.058,,,,1.1927,0.792,1.59,0.8058,0.73,0.99,,,,19.3437,14.0,23.5,,,
2001-08,2001,08,NORTE,RONDONIA,1.8858,1.55,1.97,,,,1.2373,1.13,1.4,0.8973,0.85,1.0,,,,15.6992,13.35,19.6,,,
2001-08,2001,08,NORTE,RORAIMA,1.8044,1.59,1.91,,,,1.2949,1.22,1.5101,0.9251,0.826,0.96,,,,17.2727,16.0,18.0,,,
2001-08,2001,08,SUL,SANTA CATARINA,1.7344,1.65,1.84,,,,1.0879,0.75,1.339,0.8191,0.751,0.98,,,,19.9209,16.0,24.0,,,
2001-08,2001,08,SUDESTE,SAO PAULO,1.6697,1.47,1.953,,,,0.8679,0.669,1.299,0.8231,0.699,0.999,,,,18.4216,13.99,22.0,0.7805,0.75,0.799
2001-08,2001,08,NORDESTE,SERGIPE,1.6596,1.6,1.788,,,,1.1272,0.86,1.362,0.8609,0.84,0.898,,,,17.1353,17.0,18.0,0.729,0.729,0.729
2001-08,2001,08,NORTE,TOCANTINS,1.875,1.75,1.94,,,,1.1966,1.1,1.4,0.9272,0.779,0.999,,,,18.9297,15.5,20.0,,,
2001-09,2001,09,NORTE,ACRE,1.9275,1.667,2.38,,,,1.359,1.25,1.47,0.9762,0.884,1.28,,,,19.6719,16.8,29.0,,,
2001-09,2001,09,NORDESTE,ALAGOAS,1.6686,1.48,1.95,,,,1.0525,0.89,1.25,0.889,0.814,0.985,,,,17.3571,16.0,29.0,0.749,0.749,0.749
2001-09,2001,09,NORTE,AMAPA,1.868,1.83,2.02,,,,1.3704,1.3,1.65,0.938,0.9,0.95,,,,17.7815,13.49,19.0,,,
2001-09,2001,09,NORTE,AMAZONAS,1.8667,1.61,2.0,,,,1.2082,0.875,1.39,0.8671,0.82,1.0,,,,15.032,14.3,17.6,,,
2001-09,2001,09,NORDESTE,BAHIA,1.7463,1.51,1.97,,,,1.193,0.98,1.58,0.8846,0.808,0.998,,,,16.1131,13.98,20.0,0.73,0.73,0.73
2001-09,2001,09,NORDESTE,CEARA,1.7152,1.488,1.969,,,,1.1788,0.979,1.39,0.965,0.859,1.0,,,,15.2032,12.5,21.0,0.7481,0.748,0.749
2001-09,2001,09,CENTRO OESTE,DISTRITO FEDERAL,1.6888,1.65,1.9,,,,1.1713,1.1,1.23,0.8596,0.84,0.869,,,,19.007,17.5,21.0,,,
2001-09,2001,09,SUDESTE,ESPIRITO SANTO,1.7039,1.539,1.9,,,,1.1342,0.999,1.4,0.908,0.801,0.999,,,,19.1912,13.99,23.0,0.729,0.729,0.729
2001-09,2001,09,CENTRO OESTE,GOIAS,1.679,1.43,1.95,,,,1.0217,0.81,1.199,0.9077,0.77,0.999,,,,17.9153,14.8,21.0,,,
2001-09,2001,09,NORDESTE,MARANHAO,1.8216,1.6,1.98,,,,1.2495,1.012,1.5,0.8797,0.81,0.98,,,,16.3961,13.93,19.0,,,
2001-09,2001,09,CENTRO OESTE,MATO GROSSO,1.8308,1.578,2.1,,,,1.0772,0.79,1.37,0.9574,0.89,1.0,,,,22.8935,19.9,25.0,,,
2001-09,2001,09,CENTRO OESTE,MATO GROSSO DO SUL,1.7827,1.69,1.98,,,,1.142,0.98,1.369,0.9015,0.83,0.99,,,,19.9479,18.0,21.8,,,
2001-09,2001,09,SUDESTE,MINAS GERAIS,1.7061,1.48,1.97,,,,1.0559,0.65,1.49,0.8748,0.762,0.997,,,,17.6266,13.0,22.0,0.7167,0.699,0.719
2001-09,2001,09,NORTE,PARA,1.9307,1.69,2.3,,,,1.3508,0.99,1.79,0.8923,0.77,1.02,,,,15.5334,13.0,21.0,,,
2001-09,2001,09,NORDESTE,PARAIBA,1.742,1.6,1.79,,,,1.124,0.98,1.29,0.8821,0.815,0.999,,,,17.8903,16.0,19.5,0.722,0.721,0.725
2001-09,2001,09,SUL,PARANA,1.6981,1.469,1.97,,,,0.9112,0.64,1.1,0.8324,0.729,0.969,,,,20.0109,15.5,23.0,,,
2001-09,2001,09,NORDESTE,PERNAMBUCO,1.7282,1.44,1.95,,,,1.0684,0.7,1.48,0.9007,0.8,0.99,,,,16.8115,15.0,18.5,0.7582,0.758,0.759
2001-09,2001,09,NORDESTE,PIAUI,1.8292,1.8,1.88,,,,1.2681,1.2,1.31,0.8947,0.83,0.94,,,,17.1108,14.46,18.5,,,
2001-09,2001,09,SUDESTE,RIO DE JANEIRO,1.7154,1.52,1.99,,,,1.0364,0.69,1.399,0.8288,0.75,0.997,,,,18.1162,13.5,23.0,0.7327,0.715,0.759
2001-09,2001,09,NORDESTE,RIO GRANDE DO NORTE,1.7286,1.669,1.83,,,,1.1502,1.05,1.5,0.8874,0.82,0.96,,,,17.1046,14.9,18.0,0.7182,0.718,0.719
2001-09,2001,09,SUL,RIO GRANDE DO SUL,1.7706,1.57,2.058,,,,1.1967,0.698,1.45,0.8205,0.759,0.937,,,,19.2303,14.9,23.5,,,
2001-09,2001,09,NORTE,RONDONIA,1.91,1.69,1.99,,,,1.2582,1.13,1.4,0.9407,0.814,1.0,,,,16.2017,15.1,20.5,,,
2001-09,2001,09,NORTE,RORAIMA,1.807,1.59,1.98,,,,1.2948,1.22,1.33,0.9245,0.826,0.98,,,,17.5424,16.0,18.5,,,
2001-09,2001,09,SUL,SANTA CATARINA,1.7615,1.598,1.98,,,,1.1497,0.88,1.34,0.8314,0.76,0.938,,,,19.8609,15.0,26.0,,,
2001-09,2001,09,SUDESTE,SAO PAULO,1.6675,1.43,1.999,,,,0.8693,0.63,1.299,0.8276,0.739,0.999,,,,18.319,14.0,22.0,0.7736,0.699,0.799
2001-09,2001,09,NORDESTE,SERGIPE,1.6612,1.6,1.788,,,,1.1448,1.03,1.362,0.8658,0.84,0.899,,,,17.2014,16.0,18.0,0.729,0.729,0.729
2001-09,2001,09,NORTE,TOCANTINS,1.8779,1.67,1.94,,,,1.2148,1.1,1.4,0.9326,0.879,0.99,,,,18.6525,15.5,21.0,,,
2001-10,2001,10,NORTE,ACRE,1.9825,1.83,2.48,,,,1.3353,1.13,1.47,1.043,0.889,1.39,,,,20.7484,18.0,30.5,,,
2001-10,2001,10,NORDESTE,ALAGOAS,1.7777,1.56,1.96,,,,1.0941,0.9,1.29,0.9297,0.825,0.994,,,,18.0048,16.0,20.0,0.7682,0.74,0.779
2001-10,2001,10,NORTE,AMAPA,1.9308,1.71,2.09,,,,1.3678,1.13,1.65,0.9748,0.895,1.0,,,,18.8098,14.39,20.0,,,
2001-10,2001,10,NORTE,AMAZONAS,1.9216,1.67,2.05,,,,1.2275,1.11,1.39,0.9303,0.835,1.05,,,,15.8573,14.8,20.7,,,
2001-10,2001,10,NORDESTE,BAHIA,1.8185,1.56,2.14,,,,1.1943,0.856,1.58,0.925,0.808,1.04,,,,17.5415,14.0,21.0,0.7512,0.73,0.76
2001-10,2001,10,NORDESTE,CEARA,1.825,1.5,2.0,,,,1.1804,0.961,1.5,1.0069,0.919,1.07,,,,16.0647,12.5,19.8,0.7718,0.748,0.79
2001-10,2001,10,CENTRO OESTE,DISTRITO FEDERAL,1.7463,1.67,1.799,,,,1.1719,0.9,1.218,0.8901,0.84,0.92,,,,19.8823,19.0,21.0,,,
2001-10,2001,10,SUDESTE,ESPIRITO SANTO,1.7811,1.569,1.953,,,,1.159,0.85,1.5,0.9461,0.85,0.999,,,,19.6892,12.2,29.0,0.7758,0.729,0.789
2001-10,2001,10,CENTRO OESTE,GOIAS,1.7643,1.41,1.991,,,,1.05,0.82,1.47,0.9408,0.793,0.999,,,,18.7118,14.5,22.0,,,
2001-10,2001,10,NORDESTE,MARANHAO,1.8812,1.61,2.0,,,,1.2558,1.1,1.49,0.9162,0.81,0.998,,,,17.0152,13.5,20.0,,,
2001-10,2001,10,CENTRO OESTE,MATO GROSSO,1.9021,1.63,2.15,,,,1.1096,0.799,1.37,1.0069,0.89,1.08,,,,23.3437,19.9,27.0,,,
2001-10,2001,10,CENTRO OESTE,MATO GROSSO DO SUL,1.8408,1.699,1.999,,,,1.1526,0.97,1.39,0.9408,0.83,0.998,,,,20.9036,18.0,23.8,,,
2001-10,2001,10,SUDESTE,MINAS GERAIS,1.7598,1.45,1.99,,,,1.0661,0.7,1.58,0.9144,0.8,0.999,,,,18.2864,12.15,24.0,0.754,0.699,0.772
2001-10,2001,10,NORTE,PARA,1.9947,1.69,2.4,,,,1.3534,0.92,1.88,0.9385,0.79,1.04,,,,16.6498,14.0,20.0,,,
2001-10,2001,10,NORDESTE,PARAIBA,1.8306,1.69,1.985,,,,1.1247,0.939,1.39,0.9362,0.815,0.989,,,,18.693,15.0,21.0,0.7364,0.721,0.785
2001-10,2001,10,SUL,PARANA,1.7802,1.468,1.999,,,,0.9641,0.659,1.15,0.8718,0.77,0.999,,,,20.513,14.0,30.0,0.899,0.899,0.899
2001-10,2001,10,NORDESTE,PERNAMBUCO,1.7633,1.54,1.99,,,,1.0761,0.7,1.49,0.9295,0.73,0.996,,,,17.6822,12.0,20.0,0.7857,0.718,0.799
2001-10,2001,10,NORDESTE,PIAUI,1.9098,1.8,1.96,,,,1.2762,0.87,1.34,0.942,0.86,1.04,,,,17.9509,16.0,19.5,,,
2001-10,2001,10,SUDESTE,RIO DE JANEIRO,1.7673,1.49,2.09,,,,1.0443,0.7,1.42,0.867,0.77,0.999,,,,18.5517,13.5,23.0,0.7625,0.699,0.799
2001-10,2001,10,NORDESTE,RIO GRANDE DO NORTE,1.7755,1.59,1.85,,,,1.1476,1.0,1.3,0.9215,0.82,0.97,,,,17.9137,16.0,20.2,0.7346,0.717,0.768
2001-10,2001,10,SUL,RIO GRANDE DO SUL,1.8228,1.57,2.14,,,,1.2023,0.871,1.51,0.8603,0.74,0.959,,,,19.9209,15.0,25.0,,,
2001-10,2001,10,NORTE,RONDONIA,1.9778,1.79,2.099,,,,1.2674,1.13,1.5,0.9819,0.88,1.06,,,,16.9443,15.0,22.0,,,
2001-10,2001,10,NORTE,RORAIMA,1.8457,1.59,2.0,,,,1.2972,1.22,1.34,0.9597,0.8,1.0,,,,18.3115,16.5,19.5,,,
2001-10,2001,10,SUL,SANTA CATARINA,1.8403,1.58,1.97,,,,1.1593,0.837,1.49,0.8785,0.69,1.089,,,,20.8484,16.0,25.4,,,
2001-10,2001,10,SUDESTE,SAO PAULO,1.7185,1.44,1.999,,,,0.8802,0.65,1.3,0.8613,0.739,0.999,,,,19.0067,13.5,25.0,0.7718,0.699,0.799
2001-10,2001,10,NORDESTE,SERGIPE,1.7283,1.6,1.91,,,,1.1455,1.05,1.49,0.9021,0.84,0.959,,,,18.4325,17.0,20.0,0.753,0.729,0.769
2001-10,2001,10,NORTE,TOCANTINS,1.9309,1.75,2.03,,,,1.2142,1.1,1.5,0.9673,0.875,1.02,,,,19.0867,15.5,20.0,,,
2001-11,2001,11,NORTE,ACRE,2.0066,1.82,2.45,,,,1.3299,1.25,1.47,1.0674,1.0,1.32,,,,21.5008,18.5,30.5,,,
2001-11,2001,11,NORDESTE,ALAGOAS,1.7998,1.699,1.84,,,,1.1001,0.94,1.29,0.9443,0.85,0.994,,,,18.5937,17.0,21.0,0.779,0.779,0.779
2001-11,2001,11,NORTE,AMAPA,1.9474,1.85,2.09,,,,1.3722,1.23,1.65,0.9844,0.93,1.0,,,,19.2393,15.5,20.0,,,
2001-11,2001,11,NORTE,AMAZONAS,1.9296,1.67,2.05,,,,1.2172,1.115,1.39,0.9449,0.87,1.05,,,,16.0782,15.4,19.5,,,
2001-11,2001,11,NORDESTE,BAHIA,1.8001,1.5,2.042,,,,1.1919,0.98,1.58,0.9315,0.803,1.1,,,,17.8244,16.0,21.0,0.76,0.76,0.76
2001-11,2001,11,NORDESTE,CEARA,1.8406,1.69,2.0,,,,1.1769,0.98,1.39,1.0183,0.88,1.09,,,,16.2,13.0,19.5,0.7891,0.789,0.79
2001-11,2001,11,CENTRO OESTE,DISTRITO FEDERAL,1.7597,1.68,1.799,,,,1.1773,1.05,1.218,0.8991,0.86,0.92,,,,20.0075,19.5,21.0,,,
2001-11,2001,11,SUDESTE,ESPIRITO SANTO,1.8001,1.63,1.977,,,,1.1642,0.99,1.48,0.9543,0.839,0.999,,,,19.6867,15.5,25.0,0.7895,0.787,0.797
2001-11,2001,11,CENTRO OESTE,GOIAS,1.7812,1.65,1.93,,,,1.0543,0.82,1.5,0.9493,0.8,0.999,,,,18.6729,14.89,29.0,,,
2001-11,2001,11,NORDESTE,MARANHAO,1.8828,1.63,2.0,,,,1.2562,1.1,1.45,0.9246,0.84,0.994,,,,17.102,12.5,20.0,,,
2001-11,2001,11,CENTRO OESTE,MATO GROSSO,1.8983,1.638,2.15,,,,1.1022,0.83,1.3,1.0175,0.899,1.09,,,,23.5122,19.9,26.0,,,
2001-11,2001,11,CENTRO OESTE,MATO GROSSO DO SUL,1.8474,1.71,1.979,,,,1.149,0.97,1.32,0.9513,0.86,0.998,,,,20.9914,17.0,23.8,,,
2001-11,2001,11,SUDESTE,MINAS GERAIS,1.7608,1.45,1.999,,,,1.0589,0.759,1.58,0.9253,0.814,1.0,,,,18.3608,12.8,23.0,0.7701,0.752,0.78
2001-11,2001,11,NORTE,PARA,1.9982,1.75,2.4,,,,1.3547,0.88,1.88,0.9499,0.82,1.04,,,,16.7407,14.0,20.13,,,
2001-11,2001,11,NORDESTE,PARAIBA,1.8457,1.8,1.92,,,,1.1202,0.95,1.29,0.9475,0.85,0.989,,,,19.077,15.0,21.2,0.725,0.725,0.725
2001-11,2001,11,SUL,PARANA,1.7482,1.46,1.95,,,,0.9344,0.729,1.16,0.8818,0.79,0.999,,,,20.4774,15.0,27.9,0.899,0.899,0.899
2001-11,2001,11,NORDESTE,PERNAMBUCO,1.7453,1.5,1.99,,,,1.0755,0.7,1.48,0.9398,0.8,0.996,,,,17.8186,13.5,20.0,0.7965,0.749,0.799
2001-11,2001,11,NORDESTE,PIAUI,1.9287,1.9,1.94,,,,1.2756,1.1,1.34,0.952,0.92,1.04,,,,17.3479,12.5,19.9,,,
2001-11,2001,11,SUDESTE,RIO DE JANEIRO,1.775,1.56,2.04,,,,1.0432,0.733,1.4,0.8774,0.799,0.999,,,,18.5059,12.0,23.0,0.7782,0.719,0.816
2001-11,2001,11,NORDESTE,RIO GRANDE DO NORTE,1.7508,1.59,1.9,,,,1.149,0.98,1.5,0.9273,0.81,0.99,,,,17.9443,14.5,20.2,0.7684,0.768,0.769
2001-11,2001,11,SUL,RIO GRANDE DO SUL,1.8307,1.635,2.12,,,,1.204,0.977,1.51,0.8716,0.78,0.98,,,,19.539,13.0,25.0,,,
2001-11,2001,11,NORTE,RONDONIA,1.9899,1.799,2.1,,,,1.2661,1.13,1.4,0.9878,0.92,1.04,,,,17.2321,16.0,22.0,,,
2001-11,2001,11,NORTE,RORAIMA,1.8572,1.64,2.0,,,,1.3004,1.25,1.38,0.9719,0.926,1.0,,,,18.518,18.0,20.0,,,
2001-11,2001,11,SUL,SANTA CATARINA,1.8538,1.55,1.98,,,,1.1537,0.93,1.459,0.8866,0.82,0.99,,,,21.1309,15.5,31.0,,,
2001-11,2001,11,SUDESTE,SAO PAULO,1.7228,1.44,1.999,,,,0.8756,0.67,1.299,0.8704,0.739,1.059,,,,19.1932,12.5,28.0,0.7747,0.699,0.799
2001-11,2001,11,NORDESTE,SERGIPE,1.7365,1.68,1.859,,,,1.1352,1.009,1.4,0.9147,0.88,0.999,,,,19.2579,12.0,21.0,0.769,0.769,0.769
2001-11,2001,11,NORTE,TOCANTINS,1.9445,1.82,2.03,,,,1.2073,1.1,1.4,0.9736,0.855,1.02,,,,19.3678,15.5,23.0,,,
2001-12,2001,12,NORTE,ACRE,2.0121,1.88,2.45,,,,1.3347,1.25,1.47,1.0683,1.0,1.32,,,,21.3952,18.2,32.0,,,
2001-12,2001,12,NORDESTE,ALAGOAS,1.7982,1.69,2.05,,,,1.0935,0.94,1.29,0.944,0.84,0.994,,,,18.703,17.0,22.5,0.779,0.779,0.779
2001-12,2001,12,NORTE,AMAPA,1.9473,1.91,2.09,,,,1.3777,1.25,1.65,0.9843,0.93,1.0,,,,18.6273,13.5,20.0,,,
2001-12,2001,12,NORTE,AMAZONAS,1.9277,1.67,2.05,,,,1.2065,0.93,1.39,0.9443,0.87,1.1,,,,16.231,15.5,26.71,,,
2001-12,2001,12,NORDESTE,BAHIA,1.8082,1.599,2.042,,,,1.1877,0.98,1.58,0.9301,0.838,1.04,,,,18.1396,16.0,21.8,0.76,0.76,0.76
2001-12,2001,12,NORDESTE,CEARA,1.8384,1.69,2.0,,,,1.166,0.929,1.5,1.0176,0.96,1.08,,,,16.3682,13.5,19.6,0.7875,0.729,0.79
2001-12,2001,12,CENTRO OESTE,DISTRITO FEDERAL,1.76,1.64,1.799,,,,1.1772,1.07,1.218,0.8993,0.88,0.92,,,,20.0176,20.0,22.0,,,
2001-12,2001,12,SUDESTE,ESPIRITO SANTO,1.7928,1.552,1.95,,,,1.143,0.965,1.29,0.9529,0.854,0.999,,,,19.1579,15.0,24.5,0.7902,0.787,0.799
2001-12,2001,12,CENTRO OESTE,GOIAS,1.7773,1.58,1.92,,,,1.0496,0.81,1.41,0.949,0.79,0.999,,,,18.5441,14.98,24.0,,,
2001-12,2001,12,NORDESTE,MARANHAO,1.8617,1.58,2.0,,,,1.2469,0.939,1.45,0.9226,0.829,0.99,,,,16.9668,14.0,19.0,,,
2001-12,2001,12,CENTRO OESTE,MATO GROSSO,1.8935,1.68,2.15,,,,1.1094,0.83,1.3,1.0169,0.899,1.08,,,,23.4528,20.0,29.5,,,
