referencia,ano,mes,regiao,gasolina_comum_preco_revenda_avg,gasolina_comum_preco_revenda_min,gasolina_comum_preco_revenda_max,gasolina_aditivada_preco_revenda_avg,gasolina_aditivada_preco_revenda_min,gasolina_aditivada_preco_revenda_max,etanol_hidratado_preco_revenda_avg,etanol_hidratado_preco_revenda_min,etanol_hidratado_preco_revenda_max,oleo_diesel_preco_revenda_avg,oleo_diesel_preco_revenda_min,oleo_diesel_preco_revenda_max,oleo_diesel_s10_preco_revenda_avg,oleo_diesel_s10_preco_revenda_min,oleo_diesel_s10_preco_revenda_max,gas_cozinha_glp_preco_revenda_avg,gas_cozinha_glp_preco_revenda_min,gas_cozinha_glp_preco_revenda_max,gas_natural_veicular_gnv_preco_revenda_avg,gas_natural_veicular_gnv_preco_revenda_min,gas_natural_veicular_gnv_preco_revenda_max
2001-10,2001,10,SUDESTE,1.7382,1.44,2.09,,,,0.9594,0.65,1.58,0.8785,0.739,0.999,,,,18.7809,12.15,29.0,0.7638,0.699,0.799
2001-10,2001,10,SUL,1.8105,1.468,2.14,,,,1.0981,0.659,1.51,0.8689,0.69,1.089,,,,20.4853,14.0,30.0,0.899,0.899,0.899
2001-11,2001,11,CENTRO OESTE,1.8107,1.638,2.15,,,,1.099,0.82,1.5,0.9558,0.8,1.09,,,,20.2465,14.89,29.0,,,
2001-11,2001,11,NORDESTE,1.8032,1.5,2.042,,,,1.1512,0.7,1.58,0.9497,0.8,1.1,,,,17.3039,12.0,21.2,0.7815,0.725,0.799
2001-11,2001,11,NORTE,1.9636,1.64,2.45,,,,1.2905,0.88,1.88,0.9707,0.82,1.32,,,,17.4116,14.0,30.5,,,
2001-11,2001,11,SUDESTE,1.7427,1.44,2.04,,,,0.9532,0.67,1.58,0.8878,0.739,1.059,,,,18.8743,12.0,28.0,0.7768,0.699,0.816
2001-11,2001,11,SUL,1.8057,1.46,2.12,,,,1.0883,0.729,1.51,0.879,0.78,0.999,,,,20.5217,13.0,31.0,0.899,0.899,0.899
2001-12,2001,12,CENTRO OESTE,1.8033,1.58,2.15,,,,1.1004,0.81,1.41,0.9524,0.79,1.08,,,,20.1368,14.98,29.5,,,
2001-12,2001,12,NORDESTE,1.807,1.38,2.05,,,,1.1458,0.7,1.58,0.95,0.8,1.08,,,,17.176,12.0,28.6,0.7802,0.72,0.799
2001-12,2001,12,NORTE,1.9586,1.64,2.45,,,,1.2878,0.93,1.88,0.9694,0.819,1.32,,,,17.1849,11.0,32.0,,,
2001-12,2001,12,SUDESTE,1.7379,1.469,2.04,,,,0.9513,0.67,1.48,0.8881,0.777,1.04,,,,18.6928,12.0,30.0,0.7788,0.699,0.816
2001-12,2001,12,SUL,1.7908,1.469,2.0,,,,1.0773,0.73,1.51,0.8789,0.77,1.0,,,,20.3564,13.0,27.0,0.899,0.899,0.899
2002-01,2002,01,CENTRO OESTE,1.6036,1.319,2.12,,,,1.0941,0.85,1.85,0.9242,0.814,1.08,,,,22.7752,16.0,30.0,,,
2002-01,2002,01,NORDESTE,1.5781,1.17,2.0,,,,1.1326,0.6,1.58,0.9131,0.75,1.05,,,,20.9677,13.0,32.1,0.781,0.725,0.799
2002-01,2002,01,NORTE,1.7263,1.34,2.45,,,,1.2777,0.95,1.88,0.9389,0.7,1.32,,,,19.857,13.5,35.0,,,
2002-01,2002,01,SUDESTE,1.5668,1.27,2.04,,,,0.9422,0.659,1.5,0.8688,0.658,1.099,,,,21.7937,12.99,30.0,0.7788,0.699,0.897
2002-01,2002,01,SUL,1.6128,1.289,2.04,,,,1.0708,0.729,1.5,0.8578,0.75,1.09,,,,23.2184,12.9,30.4,0.899,0.899,0.899
2002-02,2002,02,CENTRO OESTE,1.5253,1.35,1.89,,,,1.0794,0.719,1.65,0.9178,0.801,1.05,,,,22.5923,17.85,32.15,,,
2002-02,2002,02,NORDESTE,1.5075,1.17,1.999,,,,1.1191,0.74,1.5,0.9026,0.7,1.05,,,,21.1012,15.0,29.0,0.7816,0.725,0.799
2002-02,2002,02,NORTE,1.6155,1.29,2.45,,,,1.2706,0.88,1.88,0.9284,0.74,1.32,,,,20.1343,16.9,29.0,,,
2002-02,2002,02,SUDESTE,1.4903,1.239,1.999,,,,0.9352,0.679,1.5,0.8642,0.72,1.029,,,,21.749,15.0,29.0,0.7769,0.699,0.816
2002-02,2002,02,SUL,1.5306,1.28,1.99,,,,1.0663,0.72,1.499,0.8588,0.76,1.085,,,,23.6097,15.0,32.1,0.899,0.899,0.899
2002-03,2002,03,CENTRO OESTE,1.5754,1.35,1.99,,,,1.0807,0.85,1.37,0.9309,0.8,1.14,,,,22.2394,16.4,30.0,,,
2002-03,2002,03,NORDESTE,1.5805,1.24,1.99,,,,1.113,0.7,1.5,0.9089,0.75,1.05,,,,21.0785,15.0,27.0,0.7776,0.7,0.89
2002-03,2002,03,NORTE,1.694,1.35,2.45,,,,1.269,0.88,1.7,0.9324,0.789,1.32,,,,20.9162,16.9,30.5,,,
2002-03,2002,03,SUDESTE,1.5484,1.239,1.999,,,,0.936,0.659,1.49,0.8752,0.749,1.028,,,,21.3796,14.2,30.0,0.7763,0.67,0.86
2002-03,2002,03,SUL,1.6133,1.29,1.999,,,,1.0666,0.727,1.494,0.8755,0.701,1.19,,,,23.6172,14.0,30.0,0.9008,0.857,0.949
2002-04,2002,04,CENTRO OESTE,1.7073,1.43,2.14,,,,1.0803,0.809,1.5,1.002,0.86,1.16,,,,25.1425,17.85,35.0,,,
2002-04,2002,04,NORDESTE,1.7058,1.36,2.15,,,,1.109,0.75,1.5,0.9723,0.71,1.12,,,,23.5113,17.0,29.0,0.785,0.725,0.829
2002-04,2002,04,NORTE,1.8188,1.45,2.67,,,,1.2713,0.85,1.7,1.0035,0.849,1.39,,,,22.8869,17.8,35.0,,,
2002-04,2002,04,SUDESTE,1.6931,1.39,2.149,,,,0.937,0.659,1.5,0.9444,0.759,1.13,,,,23.1728,15.5,32.1,0.7829,0.65,0.892
2002-04,2002,04,SUL,1.7564,1.45,2.08,,,,1.0681,0.739,1.49,0.947,0.82,1.094,,,,25.8463,18.0,32.4,0.9037,0.865,0.949
2002-05,2002,05,CENTRO OESTE,1.7198,1.5,2.09,,,,1.0772,0.75,1.5,1.0227,0.856,1.21,,,,24.3543,17.0,35.0,,,
2002-05,2002,05,NORDESTE,1.731,1.38,2.1,,,,1.0952,0.73,1.5,0.9874,0.82,1.17,,,,22.5547,15.0,29.0,0.804,0.706,0.849
2002-05,2002,05,NORTE,1.8576,1.539,2.67,,,,1.2767,0.97,1.7,1.0281,0.85,1.39,,,,23.1565,19.0,35.0,,,
2002-05,2002,05,SUDESTE,1.6994,1.39,2.089,,,,0.9286,0.659,1.399,0.9621,0.799,1.149,,,,22.5926,14.5,30.0,0.7864,0.65,0.899
2002-05,2002,05,SUL,1.7465,1.37,2.06,,,,1.0574,0.719,1.49,0.9657,0.83,1.099,,,,25.0206,16.0,32.4,0.8985,0.799,0.949
2002-06,2002,06,CENTRO OESTE,1.7392,1.473,2.09,,,,1.0715,0.779,1.4,1.0321,0.893,1.21,,,,26.9264,16.0,38.0,,,
2002-06,2002,06,NORDESTE,1.7193,1.369,1.99,,,,1.0905,0.79,1.5,0.9972,0.82,1.17,,,,24.9886,16.0,32.4,0.8046,0.76,0.887
2002-06,2002,06,NORTE,1.8449,1.5,2.67,,,,1.2701,0.9,1.7,1.0414,0.85,1.39,,,,24.5932,19.5,35.0,,,
2002-06,2002,06,SUDESTE,1.6828,1.39,2.089,,,,0.9144,0.537,1.599,0.9738,0.81,1.149,,,,24.4163,16.0,34.0,0.7857,0.65,0.899
2002-06,2002,06,SUL,1.7384,1.38,2.05,,,,1.05,0.719,1.46,0.9797,0.869,1.098,,,,26.7554,16.0,35.0,0.8956,0.829,0.949
2002-07,2002,07,CENTRO OESTE,1.7652,1.369,2.22,,,,0.9923,0.5,1.34,1.1123,0.93,1.3,,,,27.7273,20.0,38.0,,,
2002-07,2002,07,NORDESTE,1.786,1.309,2.118,,,,1.0904,0.59,1.5,1.0715,0.84,1.27,,,,25.5346,18.0,36.9,0.8411,0.76,0.92
2002-07,2002,07,NORTE,1.8952,1.46,2.67,,,,1.2691,0.97,1.7,1.1141,0.903,1.39,,,,25.6053,21.0,38.0,,,
2002-07,2002,07,SUDESTE,1.7389,1.39,2.199,,,,0.8496,0.529,1.4,1.0467,0.82,1.29,,,,25.2681,18.0,35.0,0.8063,0.669,0.959
2002-07,2002,07,SUL,1.8011,1.42,2.13,,,,1.0017,0.599,1.46,1.064,0.89,1.19,,,,27.7445,19.0,36.0,0.9297,0.865,0.989
2002-08,2002,08,CENTRO OESTE,1.7748,1.55,2.22,,,,0.9711,0.71,1.328,1.1198,0.989,1.3,,,,26.5012,18.0,38.0,,,
2002-08,2002,08,NORDESTE,1.7951,1.48,2.11,,,,1.085,0.76,1.5,1.0758,0.91,1.25,,,,24.8929,19.0,31.0,0.8461,0.798,0.899
2002-08,2002,08,NORTE,1.8921,1.5,2.47,,,,1.2619,0.97,1.7,1.1247,0.92,1.4,,,,25.3675,20.0,38.5,,,
2002-08,2002,08,SUDESTE,1.7127,1.39,2.1,,,,0.8229,0.539,1.399,1.0511,0.718,1.224,,,,24.3081,18.0,35.0,0.8101,0.599,0.959
2002-08,2002,08,SUL,1.7832,1.45,2.1,,,,0.9582,0.595,1.46,1.0674,0.94,1.19,,,,26.6596,19.0,36.0,0.9649,0.899,0.989
2002-09,2002,09,CENTRO OESTE,1.7597,1.37,2.22,,,,0.9752,0.69,1.328,1.116,0.95,1.3,,,,24.6613,17.99,35.0,,,
2002-09,2002,09,NORDESTE,1.7698,1.38,2.11,,,,1.0813,0.7,1.5,1.072,0.899,1.23,,,,23.4897,15.0,30.0,0.8368,0.49,0.898
2002-09,2002,09,NORTE,1.8894,1.52,2.45,,,,1.2614,1.01,1.7,1.1234,0.95,1.39,,,,24.5879,19.0,38.5,,,
2002-09,2002,09,SUDESTE,1.7053,1.43,2.1,,,,0.8596,0.589,1.399,1.0504,0.899,1.21,,,,22.5657,15.0,30.0,0.813,0.589,0.969
2002-09,2002,09,SUL,1.7964,1.45,2.03,,,,0.9862,0.639,1.498,1.0674,0.94,1.2,,,,23.757,16.9,30.0,0.9646,0.913,0.989
2002-10,2002,10,CENTRO OESTE,1.8023,1.589,2.22,,,,1.1029,0.79,1.49,1.1203,1.0,1.3,,,,24.0883,18.0,35.0,,,
2002-10,2002,10,NORDESTE,1.7835,1.35,2.11,,,,1.0856,0.75,1.5,1.072,0.939,1.252,,,,23.7435,17.0,32.1,0.849,0.798,0.978
2002-10,2002,10,NORTE,1.8642,1.45,2.45,,,,1.2656,0.95,1.7,1.1229,0.95,1.39,,,,24.4151,20.0,38.5,,,
2002-10,2002,10,SUDESTE,1.7224,1.449,2.09,,,,0.951,0.649,1.5,1.0506,0.88,1.2,,,,22.1818,16.99,30.0,0.8166,0.679,0.959
2002-10,2002,10,SUL,1.8169,1.55,2.083,,,,1.0619,0.729,1.5,1.0708,0.94,1.25,,,,23.524,16.99,30.0,0.9844,0.94,0.998
2002-11,2002,11,CENTRO OESTE,1.9975,1.695,2.45,,,,1.4624,0.99,1.739,1.3125,1.05,1.6,,,,27.6206,19.0,41.4,,,
2002-11,2002,11,NORDESTE,2.0112,1.579,2.37,,,,1.3543,0.89,1.839,1.2635,0.989,1.49,,,,27.5882,20.0,33.0,0.9218,0.798,0.999
2002-11,2002,11,NORTE,2.0687,1.49,2.74,,,,1.4929,1.045,1.87,1.3205,1.023,1.69,,,,27.1068,19.5,42.0,,,
2002-11,2002,11,SUDESTE,1.937,1.549,2.5,,,,1.2282,0.83,1.76,1.2444,0.9,1.49,,,,25.4979,16.99,34.0,0.8821,0.679,0.99
2002-11,2002,11,SUL,2.0482,1.74,2.35,,,,1.3657,0.859,1.84,1.2805,1.03,1.469,,,,27.0026,17.0,34.8,1.0225,0.989,1.068
2002-12,2002,12,CENTRO OESTE,2.0081,1.699,2.64,,,,1.4635,1.05,1.84,1.4341,1.2,1.85,,,,29.7446,23.0,44.0,,,
2002-12,2002,12,NORDESTE,2.0347,1.59,2.63,,,,1.3785,0.96,1.839,1.3851,1.138,1.79,,,,28.3482,21.0,35.5,0.9547,0.898,0.999
2002-12,2002,12,NORTE,2.0993,1.649,2.95,,,,1.5484,1.1,1.97,1.4493,1.15,1.94,,,,29.3701,23.0,44.0,,,
2002-12,2002,12,SUDESTE,1.9574,1.659,2.56,,,,1.2396,0.799,1.76,1.3725,0.999,1.779,,,,27.0855,20.0,36.0,0.9236,0.769,0.999
2002-12,2002,12,SUL,2.0833,1.748,2.585,,,,1.384,0.979,1.91,1.4193,1.159,1.769,,,,28.6032,19.9,37.0,1.0507,0.998,1.06
2003-01,2003,01,CENTRO OESTE,2.1683,1.88,2.64,,,,1.5304,1.179,1.82,1.5778,1.38,1.85,,,,31.4828,23.1,45.0,,,
2003-01,2003,01,NORDESTE,2.2022,1.77,2.62,,,,1.3938,0.98,1.839,1.543,1.26,1.89,,,,29.5369,21.0,36.1,1.1022,0.899,1.189
2003-01,2003,01,NORTE,2.2748,1.82,2.95,,,,1.5943,1.34,1.97,1.5857,1.29,1.94,,,,30.6271,24.0,45.0,,,
2003-01,2003,01,SUDESTE,2.1069,1.699,2.6,,,,1.3263,0.939,1.849,1.501,1.2,1.799,,,,28.3509,20.5,36.0,0.9973,0.799,1.149
2003-01,2003,01,SUL,2.2646,1.89,2.61,,,,1.4676,1.099,1.984,1.5502,1.32,1.74,,,,29.8223,19.0,38.99,1.135,1.046,1.199
2003-02,2003,02,CENTRO OESTE,2.2742,2.0,2.69,,,,1.6833,1.35,1.94,1.6109,1.45,1.86,,,,30.7534,22.5,48.9,,,
2003-02,2003,02,NORDESTE,2.2318,1.739,2.639,,,,1.5652,1.15,2.3,1.5493,1.34,1.79,,,,28.4647,18.5,35.5,1.1023,1.018,1.182
2003-02,2003,02,NORTE,2.3268,1.82,2.95,,,,1.801,1.4,2.49,1.6127,1.36,1.94,,,,31.0322,25.0,45.0,,,
2003-02,2003,02,SUDESTE,2.1672,1.79,2.6,,,,1.513,1.099,2.079,1.512,1.32,1.799,,,,28.1349,21.0,39.0,1.0481,0.849,1.149
2003-02,2003,02,SUL,2.3524,1.999,2.685,,,,1.6611,1.239,2.28,1.5536,1.37,1.79,,,,29.4089,17.8,39.0,1.2296,1.15,1.399
2003-03,2003,03,CENTRO OESTE,2.2714,1.92,2.69,,,,1.696,1.47,1.94,1.6128,1.45,1.89,,,,30.8205,23.0,48.9,,,
2003-03,2003,03,NORDESTE,2.2425,1.879,2.558,,,,1.6763,1.24,2.3,1.539,1.346,1.79,,,,28.1663,20.0,36.0,1.0986,1.018,1.189
2003-03,2003,03,NORTE,2.3173,1.9,2.95,,,,1.9121,1.19,2.6,1.6123,1.38,1.94,,,,30.9328,24.0,46.0,,,
2003-03,2003,03,SUDESTE,2.1592,1.79,2.59,,,,1.5064,1.13,2.079,1.5101,1.299,1.8,,,,28.05,21.99,36.0,1.0457,0.876,1.149
2003-03,2003,03,SUL,2.3237,1.93,2.64,,,,1.6612,1.202,2.28,1.5522,1.37,1.75,,,,29.5896,19.0,39.0,1.2423,1.15,1.399
2003-04,2003,04,CENTRO OESTE,2.2538,1.87,2.69,,,,1.6895,1.39,1.99,1.6078,1.45,1.86,,,,31.9798,25.9,48.9,,,
2003-04,2003,04,NORDESTE,2.2008,1.72,2.59,,,,1.6832,1.19,2.3,1.5256,1.33,1.79,,,,29.5981,24.0,35.0,1.1025,1.018,1.448
2003-04,2003,04,NORTE,2.2986,1.85,2.95,,,,1.9356,1.4,2.6,1.6087,1.36,1.94,,,,31.1562,28.0,45.0,,,
2003-04,2003,04,SUDESTE,2.1443,1.82,2.59,,,,1.4714,1.087,2.079,1.5051,1.25,1.8,,,,28.598,22.9,37.0,1.0417,0.876,1.199
2003-04,2003,04,SUL,2.3048,1.94,2.64,,,,1.6305,1.25,2.28,1.5446,1.35,1.75,,,,30.4769,24.0,38.99,1.2325,1.15,1.399
2003-05,2003,05,CENTRO OESTE,2.1854,1.959,2.64,,,,1.5989,1.34,1.89,1.5404,1.38,1.77,,,,31.5546,25.9,48.9,,,
2003-05,2003,05,NORDESTE,2.1387,1.77,2.51,,,,1.6802,1.2,2.3,1.4507,1.23,1.78,,,,29.7611,24.0,36.0,1.1,1.018,1.18
2003-05,2003,05,NORTE,2.2353,1.79,2.85,,,,1.9295,1.58,2.6,1.5386,1.29,1.9,,,,31.1481,27.0,45.0,,,
2003-05,2003,05,SUDESTE,2.062,1.749,2.59,,,,1.4058,0.899,2.079,1.4353,1.239,1.739,,,,28.6875,23.99,37.0,1.039,0.899,1.199
2003-05,2003,05,SUL,2.1946,1.86,2.61,,,,1.5763,1.15,2.136,1.4538,1.269,1.74,,,,30.2806,24.0,37.8,1.2477,1.149,1.399
2003-06,2003,06,CENTRO OESTE,2.0697,1.76,2.66,,,,1.4191,1.049,1.89,1.5067,1.35,1.76,,,,31.0333,24.9,48.9,,,
2003-06,2003,06,NORDESTE,2.0609,1.75,2.792,,,,1.6456,1.159,2.077,1.4193,1.23,1.69,,,,29.9424,25.0,38.0,1.1018,1.018,1.169
2003-06,2003,06,NORTE,2.2047,1.88,2.86,,,,1.8853,1.35,2.6,1.5252,1.32,1.98,,,,31.151,28.0,46.0,,,
2003-06,2003,06,SUDESTE,1.9749,1.669,2.529,,,,1.2066,0.69,2.079,1.4085,1.039,1.699,,,,28.5994,23.8,37.0,1.0357,0.899,1.199
2003-06,2003,06,SUL,2.0961,1.749,2.53,,,,1.4491,0.84,2.136,1.4308,1.199,1.71,,,,30.0346,23.9,37.5,1.2452,1.189,1.399
2003-07,2003,07,CENTRO OESTE,2.0066,1.67,2.56,,,,1.2667,0.9,1.78,1.4945,1.32,1.75,,,,30.7792,25.0,48.9,1.079,1.079,1.079
2003-07,2003,07,NORDESTE,2.0007,1.68,2.44,,,,1.5625,1.05,2.05,1.406,1.19,1.69,,,,29.5932,24.0,37.0,1.1081,1.021,1.169
2003-07,2003,07,NORTE,2.1566,1.79,2.85,,,,1.7576,1.25,2.55,1.5091,1.29,1.98,,,,30.9678,26.0,46.0,,,
2003-07,2003,07,SUDESTE,1.925,1.62,2.49,,,,1.0668,0.679,1.999,1.3974,1.149,1.699,,,,28.4187,23.5,37.0,1.0324,0.87,1.199
2003-07,2003,07,SUL,2.0291,1.65,2.44,,,,1.2323,0.72,1.99,1.4112,1.25,1.62,,,,29.9349,23.95,37.99,1.2454,1.189,1.399
2003-08,2003,08,CENTRO OESTE,2.0202,1.74,2.8,,,,1.2787,0.8,1.79,1.49,1.32,1.74,,,,30.7599,25.0,48.9,,,
2003-08,2003,08,NORDESTE,1.9938,1.64,2.4,,,,1.4897,1.01,2.05,1.3939,1.229,1.69,,,,29.2494,22.0,36.0,1.1064,1.029,1.169
2003-08,2003,08,NORTE,2.1363,1.79,2.85,,,,1.6797,1.1,2.55,1.5021,1.29,1.9,,,,31.0413,27.0,46.0,,,
2003-08,2003,08,SUDESTE,1.9303,1.63,2.499,,,,1.0901,0.72,2.109,1.3905,1.239,1.699,,,,28.2982,23.9,37.0,1.0305,0.799,1.149
2003-08,2003,08,SUL,2.044,1.65,2.4,,,,1.256,0.799,1.89,1.4046,1.2,1.69,,,,29.6721,24.0,37.99,1.2457,1.189,1.399
2003-09,2003,09,CENTRO OESTE,2.0481,1.76,2.49,,,,1.3324,1.02,1.79,1.4842,1.33,1.74,,,,30.7179,25.0,48.9,,,
2003-09,2003,09,NORDESTE,2.0212,1.74,2.6,,,,1.4772,1.01,2.12,1.3887,1.148,1.69,,,,29.4613,24.0,34.0,1.107,1.029,1.149
2003-09,2003,09,NORTE,2.1383,1.76,2.85,,,,1.6885,1.159,2.4,1.5007,1.29,1.9,,,,31.0738,27.0,46.0,,,
2003-09,2003,09,SUDESTE,1.9577,1.64,2.499,,,,1.1165,0.729,1.999,1.38,1.239,1.699,,,,28.2932,23.0,37.0,1.0303,0.859,1.149
2003-09,2003,09,SUL,2.0813,1.68,2.4,,,,1.2963,0.89,1.996,1.4026,1.22,1.59,,,,29.901,24.0,37.99,1.246,1.189,1.399
2003-10,2003,10,CENTRO OESTE,2.0603,1.698,2.49,,,,1.2902,0.92,1.78,1.4802,1.25,1.74,,,,30.2835,24.0,48.9,1.079,1.079,1.079
2003-10,2003,10,NORDESTE,2.012,1.65,2.49,,,,1.4491,0.95,2.12,1.3808,1.178,1.69,,,,29.3272,24.0,37.0,1.1131,1.029,1.2
2003-10,2003,10,NORTE,2.1425,1.679,2.85,,,,1.6729,1.29,2.4,1.495,1.29,1.9,,,,31.139,27.0,46.0,1.031,1.031,1.031
2003-10,2003,10,SUDESTE,1.951,1.62,2.499,,,,1.0869,0.69,1.999,1.3764,1.2,1.699,,,,28.1316,22.5,37.0,1.0282,0.83,1.149
2003-10,2003,10,SUL,2.0725,1.779,2.43,,,,1.2529,0.87,1.79,1.3956,1.21,1.56,,,,29.8181,23.0,38.5,1.2473,1.189,1.399
2003-11,2003,11,CENTRO OESTE,2.0553,1.72,2.49,,,,1.2558,0.92,1.75,1.4737,1.25,1.74,,,,30.3063,24.5,48.9,1.079,1.079,1.079
2003-11,2003,11,NORDESTE,2.0257,1.769,2.4,,,,1.4199,0.95,2.12,1.3758,1.09,1.69,,,,29.1373,24.0,37.0,1.1154,1.045,1.149
2003-11,2003,11,NORTE,2.1569,1.67,2.85,,,,1.6561,1.25,2.4,1.4925,1.29,1.9,,,,31.072,25.0,46.0,,,
2003-11,2003,11,SUDESTE,1.9455,1.62,2.599,,,,1.07,0.69,1.99,1.3727,1.21,1.93,,,,27.9648,22.99,37.0,1.0343,0.799,1.149
2003-11,2003,11,SUL,2.0485,1.66,2.4,,,,1.2087,0.81,1.89,1.3915,1.23,1.57,,,,29.5471,22.5,37.99,1.2169,1.189,1.399
2003-12,2003,12,CENTRO OESTE,2.0548,1.79,2.49,,,,1.312,0.91,1.93,1.4743,1.31,1.74,,,,30.2704,24.5,48.9,1.079,1.079,1.079
2003-12,2003,12,NORDESTE,2.0203,1.698,2.4,,,,1.3676,0.89,2.0,1.3773,1.19,1.69,,,,29.0652,24.0,37.0,1.1164,1.029,1.149
2003-12,2003,12,NORTE,2.1594,1.729,2.85,,,,1.6492,1.25,2.4,1.4911,1.29,1.9,,,,31.027,25.0,46.0,,,
2003-12,2003,12,SUDESTE,1.9491,1.61,2.599,,,,1.0895,0.749,1.95,1.3697,1.2,1.699,,,,27.8446,22.0,37.0,1.0377,0.799,1.149
2003-12,2003,12,SUL,2.0738,1.699,2.459,,,,1.2478,0.847,1.79,1.3915,1.23,1.649,,,,29.5667,23.0,37.99,1.2084,1.119,1.349
2004-01,2004,01,CENTRO OESTE,2.0696,1.79,2.49,,,,1.3493,1.02,1.75,1.4746,1.3,1.74,,,,30.072,24.5,48.9,1.079,1.079,1.079
2004-01,2004,01,NORDESTE,2.0306,1.699,2.4,,,,1.3531,0.88,2.0,1.3794,1.219,1.69,,,,29.4611,25.0,34.0,1.1228,1.045,1.199
2004-01,2004,01,NORTE,2.149,1.69,2.85,,,,1.6496,1.25,2.4,1.4889,1.29,1.9,,,,31.0934,27.0,46.0,,,
2004-01,2004,01,SUDESTE,1.9547,1.61,2.699,,,,1.1018,0.73,1.89,1.3722,1.21,1.699,,,,28.1349,22.99,37.0,1.0483,0.799,1.149
2004-01,2004,01,SUL,2.0942,1.79,2.39,,,,1.2881,0.86,1.79,1.3997,1.23,1.649,,,,29.9802,24.0,37.99,1.2087,1.189,1.319
2004-02,2004,02,CENTRO OESTE,2.0778,1.77,2.49,,,,1.3326,0.95,1.68,1.4722,1.3,1.74,,,,30.4173,25.0,48.9,1.079,1.079,1.079
2004-02,2004,02,NORDESTE,2.0324,1.659,2.4,,,,1.3432,0.93,2.0,1.3795,1.21,1.69,,,,29.7716,25.8,34.0,1.1278,1.045,1.199
